ON_STREET,Dir,X_STREET,TYPE,Date,Day,NB,SB,EB,WB,TOT_24,FID
OAK AVE,W,SANTA JUANITA AVE,24,2014-03-25T00:00:00.000Z,T,,,4511,4186,8697,24
ALMOND AVE,N,GREENBACK LN,24,2014-03-25T00:00:00.000Z,T,657,782,,,1439,25
CHERRY AVE,E,HAZEL AVE,24,2014-03-25T00:00:00.000Z,T,,,716,760,1476,26
BUENA VISTA AVE,S,MADISON AVE,24,2014-03-25T00:00:00.000Z,T,,,,,1590,27
ISLETON RD,N,ISLETON BRIDGE,24,2014-06-10T00:00:00.000Z,T,1129,874,,,2003,28
BRANNAN ISLAND RD,S,STATE ROUTE 12,24,2014-06-10T00:00:00.000Z,T,453,533,,,986,29
FAIR OAKS BLVD,N,GREENBACK LN,24,2014-03-25T00:00:00.000Z,T,8338,8648,,,16986,30
FRANKLIN BLVD,S,DESMOND RD,24,2014-06-10T00:00:00.000Z,T,293,311,,,604,31
FRANKLIN BLVD,N,TWIN CITIES RD,24,2014-06-10T00:00:00.000Z,T,630,697,,,1327,32
OAK AVE,W,HAZEL AVE,24,2014-03-25T00:00:00.000Z,T,,,4626,3495,8121,33
HICKORY AVE,S,OAK AVE,24,2014-03-25T00:00:00.000Z,T,1289,1001,,,2290,34
SUTTER SLOUGH BRIDGE RD,S,YOLO COUNTY LINE,24,2014-06-10T00:00:00.000Z,T,969,1037,,,2006,35
SOUTH WATT AVE,N,FLORIN RD,24,2014-06-11T00:00:00.000Z,W,10470,10069,,,20539,36
KENNETH AVE,S,OAK AVE,24,2014-03-25T00:00:00.000Z,T,3240,3275,,,6515,37
FAIR OAKS BLVD,S,WOODMORE OAKS DR,24,2014-03-25T00:00:00.000Z,T,7313,7561,,,14874,38
VANCOUVER DR,E,ADRIATIC WAY,24,2014-06-11T00:00:00.000Z,W,,,,,568,39
FAIR OAKS BLVD,S,MADISON AVE,24,2014-02-13T00:00:00.000Z,TH,7213,7213,,,14426,40
SAMPSON BLVD,S,LEMON HILL AVE,24,2014-01-07T00:00:00.000Z,T,2334,2002,,,4336,41
GILMAN WAY,E,SANTA FE WAY,24,2014-01-07T00:00:00.000Z,T,,,1520,1579,3099,42
ALMOND AVE,S,OAK AVE,24,2014-03-25T00:00:00.000Z,T,473,375,,,848,43
MADISON AVE,W,GREENBACK LN,24,2014-02-13T00:00:00.000Z,TH,,,9144,10031,19175,44
RIO VERDE WAY,N,SAN NOVADO WAY,24,2014-06-11T00:00:00.000Z,W,,,,,189,45
POWER INN RD,S,STEVENSON AVE,24,2014-06-11T00:00:00.000Z,W,9150,9427,,,18577,46
ILLINOIS AVE,N,MADISON AVE,24,2014-02-13T00:00:00.000Z,TH,3089,3133,,,6222,47
BRADSHAW RD,S,OLD PLACERVILLE RD,24,2014-03-26T00:00:00.000Z,W,19085,18853,,,37938,48
SAN VINCENTE WAY,N,A ST,24,2014-01-07T00:00:00.000Z,T,1099,1126,,,2225,49
MIDDLEBURY WAY,S,WOOLWICH WAY,24,2014-01-07T00:00:00.000Z,T,,,,,168,50
HAZEL AVE,N,AMERICAN RIVER BRIDGE,24,2014-02-18T00:00:00.000Z,T,23135,22703,,,45838,51
ROSEMONT DR,N,KIEFER BLVD,24,2014-03-26T00:00:00.000Z,W,652,578,,,1230,52
WATT AVE,N,EL CAMINO AVE,24,2014-06-24T00:00:00.000Z,T,23212,23847,,,47059,53
HAZEL AVE,N,AMERICAN RIVER BRIDGE,24,2014-02-19T00:00:00.000Z,W,23331,23271,,,46602,54
LEMON HILL AVE,E,LUCERO DR,24,2014-01-07T00:00:00.000Z,T,,,2503,2525,5028,55
LA RIVIERA DR,E,WATT AVE,24,2014-04-01T00:00:00.000Z,T,,,7497,8595,16092,56
WATT AVE,S,MARCONI AVE,24,2014-06-24T00:00:00.000Z,T,23158,23734,,,46892,57
WACHTEL WAY,N,OAK AVE,24,2014-01-08T00:00:00.000Z,W,3069,3054,,,6123,58
HAZEL AVE,N,AMERICAN RIVER BRIDGE,24,2014-02-20T00:00:00.000Z,TH,23476,23458,,,46934,59
LA RIVIERA DR,E,SALMON FALLS DR,24,2014-04-01T00:00:00.000Z,T,,,5901,6750,12651,60
EL CAMINO AVE,E,WALNUT AVE,24,2014-04-23T00:00:00.000Z,W,,,6046,5933,11979,61
RIO LINDA BLVD,S,ELKHORN BLVD,24,2014-05-13T00:00:00.000Z,T,5462,5372,,,10834,62
CALVINE RD,E,ELK GROVE FLORIN RD,24,2014-04-07T00:00:00.000Z,M,,,14558,14573,29131,63
WILLOWBROOK DR,N,BRETT DR,24,2014-06-24T00:00:00.000Z,T,,,,,474,64
FLAGSTONE ST,N,PALM AVE,24,2014-06-24T00:00:00.000Z,T,165,180,,,345,65
WATT AVE,S,MARCONI AVE,24,2014-06-25T00:00:00.000Z,W,22856,23759,,,46615,66
WILLOWBROOK DR,N,BRETT DR,24,2014-06-25T00:00:00.000Z,W,,,,,484,67
FLAGSTONE ST,N,PALM AVE,24,2014-06-25T00:00:00.000Z,W,222,215,,,437,68
WATT AVE,N,EL CAMINO AVE,24,2014-06-25T00:00:00.000Z,W,23253,23752,,,47005,69
WATT AVE,N,ROSEVILLE RD,24,2014-07-01T00:00:00.000Z,T,19860,20938,,,40798,70
WATT AVE,S,DON JULIO BLVD,24,2014-07-01T00:00:00.000Z,T,17188,18150,,,35338,71
47TH AVE,E,STATE ROUTE 99,24,2014-07-01T00:00:00.000Z,T,,,18361,18092,36453,72
CENTER PKWY,S,FOREST PKWY,24,2014-07-01T00:00:00.000Z,T,2504,2574,,,5078,73
WATT AVE,N,A ST,24,2014-07-01T00:00:00.000Z,T,17724,18635,,,36359,74
47TH AVE,W,47TH ST,24,2014-07-01T00:00:00.000Z,T,,,17189,16742,33931,75
EAST PKWY,S,FOREST PKWY,24,2014-07-01T00:00:00.000Z,T,827,978,,,1805,76
STEVENSON AVE,E,EAST STOCKTON BLVD,24,2014-07-02T00:00:00.000Z,W,,,1161,914,2075,77
POWER INN RD,S,ELSIE AVE,24,2014-07-02T00:00:00.000Z,W,9191,9363,,,18554,78
POWER INN RD,N,GERBER RD,24,2014-07-02T00:00:00.000Z,W,13067,16194,,,29261,79
GERBER RD,W,ELK GROVE FLORIN RD,24,2014-07-02T00:00:00.000Z,W,,,9066,8130,17196,80
VINTAGE PARK DR,W,ELK GROVE FLORIN RD,24,2014-07-02T00:00:00.000Z,W,,,2231,1894,4125,81
GENEVA POINTE DR,E,EAST STOCKTON BLVD,24,2014-07-02T00:00:00.000Z,W,,,1635,1543,3178,82
WATT AVE,N,ANTELOPE RD,24,2014-07-08T00:00:00.000Z,T,11466,11698,,,23164,83
BLACK EAGLE DR,E,WATT AVE,24,2014-07-08T00:00:00.000Z,T,,,961,1035,1996,84
BRIDGE ST,W,RIDGE ST,24,2014-07-08T00:00:00.000Z,T,,,2097,462,2559,85
BLACK EAGLE DR,E,WATT AVE,24,2014-07-09T00:00:00.000Z,W,,,1068,1066,2134,86
WATT AVE,N,ANTELOPE RD,24,2014-07-09T00:00:00.000Z,W,11637,11727,,,23364,87
FLORIN PERKINS RD,N,FLORIN RD,24,2014-07-15T00:00:00.000Z,T,8139,8802,,,16941,88
FLORIN RD,W,FLORIN PERKINS RD,24,2014-07-15T00:00:00.000Z,T,,,9587,10006,19593,89
STOCKTON BLVD,N,ELSIE AVE,24,2014-07-15T00:00:00.000Z,T,17091,18317,,,35408,90
STOCKTON BLVD,S,FLORIN RD,24,2014-07-15T00:00:00.000Z,T,13219,13675,,,26894,91
FRENCH RD,S,FLORIN RD,24,2014-07-15T00:00:00.000Z,T,8183,8387,,,16570,92
ELSIE AVE,E,STOCKTON BLVD,24,2014-07-15T00:00:00.000Z,T,,,12237,12941,25178,93
BRUCEVILLE RD,S,LAMBERT RD,24,2014-07-16T00:00:00.000Z,W,898,819,,,1717,94
SIMMERHORN RD,W,STEINER RD,24,2014-07-16T00:00:00.000Z,W,,,1982,1819,3801,95
BRUCEVILLE RD,N,LAMBERT RD,24,2014-07-16T00:00:00.000Z,W,995,1008,,,2003,96
STOCKTON BLVD,S,FLORIN RD,24,2014-07-16T00:00:00.000Z,W,13355,13882,,,27237,97
FRENCH RD,S,FLORIN RD,24,2014-07-16T00:00:00.000Z,W,8131,8342,,,16473,98
FLORIN PERKINS RD,N,FLORIN RD,24,2014-07-16T00:00:00.000Z,W,8072,8828,,,16900,99
LAMBERT RD,E,BRUCEVILLE RD,24,2014-07-16T00:00:00.000Z,W,,,160,152,312,100
TWIN CITIES RD,W,STATE ROUTE 99,24,2014-07-16T00:00:00.000Z,W,,,3118,4664,7782,101
BOESSOW RD,W,MARENGO RD,24,2014-07-16T00:00:00.000Z,W,,,1492,2862,4354,102
ORANGE GROVE AVE,W,RIVER COLLEGE DR,24,2014-04-01T00:00:00.000Z,T,,,4664,4341,9005,103
NORTH MARKET BLVD,W,NORTHGATE BLVD,24,2014-05-13T00:00:00.000Z,T,,,9055,7557,16612,104
FLORIN RD,W,FLORIN PERKINS RD,24,2014-07-16T00:00:00.000Z,W,,,9694,10088,19782,105
EL CAMINO AVE,W,FAIR OAKS BLVD,24,2014-04-23T00:00:00.000Z,W,,,4640,4452,9092,106
WINDING WAY,W,WALNUT AVE,24,2014-04-01T00:00:00.000Z,T,,,8397,8733,17130,107
CALVINE RD,E,POWER INN RD,24,2014-04-07T00:00:00.000Z,M,,,20801,22313,43114,108
DON JULIO BLVD,N,ANTELOPE RD,24,2014-05-13T00:00:00.000Z,T,10045,9597,,,19642,109
STOCKTON BLVD,N,ELSIE AVE,24,2014-07-16T00:00:00.000Z,W,17456,18595,,,36051,110
GARFIELD AVE,N,MARCONI AVE,24,2014-04-23T00:00:00.000Z,W,2835,2171,,,5006,111
MYRTLE AVE,W,HEMLOCK ST,24,2014-04-01T00:00:00.000Z,T,,,,,6560,112
CALVINE RD,E,ELK GROVE FLORIN RD,24,2014-04-08T00:00:00.000Z,T,,,14934,14831,29765,113
NEW DAWN DR,W,GOLDILOCKS WY,24,2014-05-13T00:00:00.000Z,T,,,,,451,114
ELSIE AVE,E,STOCKTON BLVD,24,2014-07-16T00:00:00.000Z,W,,,12496,13151,25647,115
EL CAMINO AVE,E,EASTERN AVE,24,2014-04-23T00:00:00.000Z,W,,,8899,7881,16780,116
BELL ST,N,NORTHROP AVE,24,2014-04-01T00:00:00.000Z,T,2103,3063,,,5166,117
CALVINE RD,W,ELK GROVE FLORIN RD,24,2014-04-08T00:00:00.000Z,T,,,19913,19370,39283,118
EL CAMINO AVE,E,WATT AVE,24,2014-05-14T00:00:00.000Z,W,,,8384,8754,17138,119
EL CENTRO RD,N,WEST EL CAMINO AVE,24,2014-01-08T00:00:00.000Z,W,4340,5684,,,10024,120
HAZEL AVE,N,AMERICAN RIVER BRIDGE,24,2014-02-21T00:00:00.000Z,F,24719,24236,,,48955,121
ELM AVE,E,HAZEL AVE,24,2014-01-08T00:00:00.000Z,W,,,1169,1109,2278,122
WHITNEY AVE,W,EASTERN AVE,24,2014-04-01T00:00:00.000Z,T,,,3901,3941,7842,123
EL CAMINO AVE,W,WATT AVE,24,2014-05-14T00:00:00.000Z,W,,,9704,9617,19321,124
ELVERTA RD,E,WATT AVE,24,2014-07-22T00:00:00.000Z,T,,,7293,7465,14758,125
WALNUT AVE,N,WHITNEY AVE,24,2014-04-23T00:00:00.000Z,W,10286,10295,,,20581,126
FAIR OAKS BLVD,E,FULTON AVE,24,2014-04-08T00:00:00.000Z,T,,,18290,13548,31838,127
MORSE AVE,N,FAIR OAKS BLVD,24,2014-04-01T00:00:00.000Z,T,1472,1653,,,3125,128
ELK GROVE FLORIN RD,S,GERBER RD,24,2014-04-08T00:00:00.000Z,T,16101,15290,,,31391,129
ASHTON DR,W,SAVERIEN DR,24,2014-04-24T00:00:00.000Z,TH,,,,,995,130
LOCUST AVE,E,WALNUT AVE,24,2014-04-01T00:00:00.000Z,T,,,497,763,1260,131
DEWEY BLVD,S,COYLE AVE,24,2014-05-14T00:00:00.000Z,W,10653,10944,,,21597,132
MADISON AVE,W,HILLSDALE BLVD,24,2014-07-22T00:00:00.000Z,T,,,11593,11413,23006,133
FAIR OAKS BLVD,E,WATT AVE,24,2014-04-08T00:00:00.000Z,T,,,18910,20909,39819,134
FAIR OAKS BLVD,S,WOODMORE OAKS DR,24,2014-01-15T00:00:00.000Z,W,7360,7508,,,14868,135
FAIR OAKS BLVD,S,GARFIELD AVE,24,2014-04-24T00:00:00.000Z,TH,12246,12188,,,24434,136
HAZEL AVE,N,AMERICAN RIVER BRIDGE,24,2014-02-22T00:00:00.000Z,S,17824,17877,,,35701,137
COLLEGE OAK DR,N,WINDING WAY,24,2014-04-01T00:00:00.000Z,T,7276,6953,,,14229,138
BRADSHAW RD,S,FOLSOM BLVD,24,2014-05-15T00:00:00.000Z,TH,10347,10887,,,21234,139
WATT AVE,S,ORANGE GROVE AVE,24,2014-07-22T00:00:00.000Z,T,22561,22728,,,45289,140
BRADSHAW RD,N,CALVINE RD,24,2014-04-08T00:00:00.000Z,T,8970,9596,,,18566,141
MAIN AVE,N,ELM AVE,24,2014-01-15T00:00:00.000Z,W,2216,2127,,,4343,142
KIEFER BLVD,W,MAYHEW RD,24,2014-04-24T00:00:00.000Z,TH,,,6034,6055,12089,143
HAZEL AVE,N,AMERICAN RIVER BRIDGE,24,2014-02-23T00:00:00.000Z,SU,14494,14004,,,28498,144
PASADENA AVE,E,NORRIS AVE,24,2014-04-01T00:00:00.000Z,T,,,666,751,1417,145
MADISON AVE,E,SAN JUAN AVE,24,2014-05-20T00:00:00.000Z,T,,,23709,25019,48728,146
VALENSIN RD,E,COLONY RD,24,2014-07-23T00:00:00.000Z,W,,,455,430,885,147
ELK GROVE FLORIN RD,N,GERBER RD,24,2014-04-08T00:00:00.000Z,T,12474,11170,,,23644,148
OAK AVE,W,MAIN AVE,24,2014-01-15T00:00:00.000Z,W,,,3993,4067,8060,149
WATT AVE,N,AMERICAN RIVER BRIDGE,24,2014-04-28T00:00:00.000Z,M,43159,46329,,,89488,150
HAZEL AVE,N,AMERICAN RIVER BRIDGE,24,2014-02-24T00:00:00.000Z,M,22762,22530,,,45292,151
MORSE AVE,N,NORTHROP AVE,24,2014-04-01T00:00:00.000Z,T,1938,1793,,,3731,152
MADISON AVE,E,SUNRISE BLVD,24,2014-05-20T00:00:00.000Z,T,,,19805,19870,39675,153
LINCOLN WAY,N,KOST RD,24,2014-07-23T00:00:00.000Z,W,2916,2465,,,5381,154
CALVINE RD,E,POWER INN RD,24,2014-04-08T00:00:00.000Z,T,,,20785,22099,42884,155
BUENA VISTA DR,E,WATT AVE,24,2014-01-22T00:00:00.000Z,W,,,,,239,156
CYPRESS AVE,W,MANZANITA AVE,24,2014-04-29T00:00:00.000Z,T,,,8546,7435,15981,157
WASHBURN WAY,N,HERLONG WAY,24,2014-02-25T00:00:00.000Z,T,,,,,584,158
NORRIS AVE,N,MARCONI AVE,24,2014-04-01T00:00:00.000Z,T,1284,1204,,,2488,159
EL NIDO WAY,S,ARDEN WAY,24,2014-05-20T00:00:00.000Z,T,,,,,697,160
NEW HOPE RD,E,SARGENT AVE,24,2014-07-23T00:00:00.000Z,W,,,705,704,1409,161
FLORIN PERKINS RD,S,JACKSON RD/SR 16,24,2014-04-08T00:00:00.000Z,T,12013,9769,,,21782,162
FULTON AVE,S,EL CAMINO AVE,24,2014-01-22T00:00:00.000Z,W,14440,14580,,,29020,163
MANZANITA AVE,S,WINDING WAY,24,2014-04-29T00:00:00.000Z,T,13505,13256,,,26761,164
BAINBRIDGE DR,E,WATT AVE,24,2014-02-25T00:00:00.000Z,T,,,1045,903,1948,165
PASADENA AVE,W,NORRIS AVE,24,2014-04-01T00:00:00.000Z,T,,,536,511,1047,166
WATT AVE,N,FAIR OAKS BLVD,24,2014-05-20T00:00:00.000Z,T,25688,24972,,,50660,167
BORDEN RD,E,TWIN CITIES RD,24,2014-07-23T00:00:00.000Z,W,,,707,661,1368,168
GERBER RD,E,BRADSHAW RD,24,2014-04-08T00:00:00.000Z,T,,,3558,2904,6462,169
MAYHEW RD,S,FOLSOM BLVD,24,2014-01-22T00:00:00.000Z,W,5698,4750,,,10448,170
WINDING WAY,E,MANZANITA AVE,24,2014-04-29T00:00:00.000Z,T,,,9468,10635,20103,171
ROSEVILLE RD,S,OAKHOLLOW DR,24,2014-02-26T00:00:00.000Z,W,7991,8274,,,16265,172
LA RIVIERA DR,N,FOLSOM BLVD,24,2014-04-03T00:00:00.000Z,TH,4745,4341,,,9086,173
MADISON AVE,E,AUBURN BLVD,24,2014-05-20T00:00:00.000Z,T,,,24811,24254,49065,174
ALTA MESA RD,N,BORDEN RD,24,2014-07-23T00:00:00.000Z,W,594,608,,,1202,175
GERBER RD,E,ELK GROVE FLORIN RD,24,2014-04-08T00:00:00.000Z,T,,,5024,4900,9924,176
MAYHEW RD,S,FOLSOM BLVD,24,2014-01-23T00:00:00.000Z,TH,5545,4644,,,10189,177
CALVINE RD,W,BRADSHAW RD,24,2014-01-29T00:00:00.000Z,W,,,7605,8875,16480,178
IOWA AVE,E,LAURINE WAY,24,2014-01-29T00:00:00.000Z,W,,,491,668,1159,179
44TH ST,N,FRUITRIDGE RD,24,2014-01-29T00:00:00.000Z,W,1776,2029,,,3805,180
CALVINE RD,E,BRADSHAW RD,24,2014-01-29T00:00:00.000Z,W,,,6874,6934,13808,181
HILLTOP DR,E,HESPER WAY,24,2014-01-30T00:00:00.000Z,TH,,,469,513,982,182
REDWATER DR,N,NORTH LOOP BLVD,24,2014-01-30T00:00:00.000Z,TH,1808,1845,,,3653,183
SHERATON DR,E,KENNETH AVE,24,2014-01-30T00:00:00.000Z,TH,,,524,528,1052,184
HOLLISTER AVE,N,GRANT AVE,24,2014-02-04T00:00:00.000Z,T,752,723,,,1475,185
SAN JUAN AVE,N,FAIR OAKS BLVD,24,2014-02-04T00:00:00.000Z,T,7592,11631,,,19223,186
LINCOLN AVE,E,MARSHALL AVE,24,2014-02-04T00:00:00.000Z,T,,,1445,1357,2802,187
SUTTER AVE,W,HOLLISTER AVE,24,2014-02-04T00:00:00.000Z,T,,,442,305,747,188
ELKHORN BLVD,W,EAST LEVEE RD,24,2014-02-05T00:00:00.000Z,W,,,7273,7441,14714,189
EL MODENA AVE,N,ELVERTA RD,24,2014-02-05T00:00:00.000Z,W,284,312,,,596,190
ELKHORN BLVD,E,MARYSVILLE BLVD,24,2014-02-05T00:00:00.000Z,W,,,6666,6216,12882,191
POWER LINE RD,N,ELKHORN BLVD,24,2014-02-05T00:00:00.000Z,W,131,37,,,168,192
ELVERTA RD,E,SORENTO RD,24,2014-02-05T00:00:00.000Z,W,,,2905,2605,5510,193
NORTHGATE BLVD,N,NORTH MARKET BLVD,24,2014-02-05T00:00:00.000Z,W,12334,11388,,,23722,194
16TH ST,N,ELVERTA RD,24,2014-02-05T00:00:00.000Z,W,160,223,,,383,195
ELVERTA RD,W,ELECTRIC AVE,24,2014-02-05T00:00:00.000Z,W,,,3284,3185,6469,196
RIO LINDA BLVD,S,ELVERTA RD,24,2014-02-05T00:00:00.000Z,W,1497,1430,,,2927,197
ELVERTA RD,E,STATE ROUTE 99,24,2014-02-05T00:00:00.000Z,W,,,2559,3019,5578,198
SUTTER AVE,W,HOLLISTER AVE,24,2014-02-06T00:00:00.000Z,TH,,,416,280,696,199
GREENBACK LN,W,FOLSOM BLVD,24,2014-02-12T00:00:00.000Z,W,,,18144,17680,35824,200
SUNSET AVE,E,HAZEL AVE,24,2014-02-12T00:00:00.000Z,W,,,3394,3452,6846,201
MADISON AVE,W,GREENBACK LN,24,2014-02-12T00:00:00.000Z,W,,,8886,9886,18772,202
MADISON AVE,W,HAZEL AVE,24,2014-02-12T00:00:00.000Z,W,,,17403,16892,34295,203
FAIR OAKS BLVD,S,MADISON AVE,24,2014-02-12T00:00:00.000Z,W,7468,7195,,,14663,204
KENNETH AVE,N,WINDING WAY,24,2014-02-12T00:00:00.000Z,W,691,806,,,1497,205
SUNSET AVE,W,FAIR OAKS BLVD,24,2014-02-12T00:00:00.000Z,W,,,5777,5929,11706,206
ILLINOIS AVE,N,MADISON AVE,24,2014-02-12T00:00:00.000Z,W,2869,2966,,,5835,207
MADISON AVE,W,MAIN AVE,24,2014-02-12T00:00:00.000Z,W,,,10671,10899,21570,208
KENNETH AVE,N,WINDING WAY,24,2014-02-13T00:00:00.000Z,TH,679,862,,,1541,209
SUNSET AVE,E,HAZEL AVE,24,2014-02-13T00:00:00.000Z,TH,,,3371,3543,6914,210
MADISON AVE,W,MAIN AVE,24,2014-02-13T00:00:00.000Z,TH,,,11124,11232,22356,211
HAZEL AVE,S,GREENBACK LN,24,2014-05-20T00:00:00.000Z,T,17612,17420,,,35032,212
FILBERT AVE,S,WINDSOCK AVE,24,2014-02-27T00:00:00.000Z,TH,,,,,653,213
LA RIVIERA DR,N,FOLSOM BLVD,24,2014-04-04T00:00:00.000Z,F,4619,4575,,,9194,214
SIMMERHORN RD,W,CLAY STATION RD,24,2014-07-23T00:00:00.000Z,W,,,310,183,493,215
UNIVERSITY AVE,S,FAIR OAKS BLVD,24,2014-04-08T00:00:00.000Z,T,5172,4958,,,10130,216
47TH AVE,E,MARTIN LUTHER KING BLVD,24,2014-03-04T00:00:00.000Z,T,,,18811,18202,37013,217
HAZEL AVE,S,MADISON AVE,24,2014-05-20T00:00:00.000Z,T,22303,22115,,,44418,218
AUBURN BLVD,E,WATT AVE,24,2014-04-29T00:00:00.000Z,T,,,9835,10115,19950,219
UNIVERSITY AVE,S,FAIR OAKS BLVD,24,2014-04-07T00:00:00.000Z,M,4907,4904,,,9811,220
COLONY RD,N,VALENSIN RD (N/EXT),24,2014-07-23T00:00:00.000Z,W,562,610,,,1172,221
WATERMAN RD,N,CALVINE RD,24,2014-04-08T00:00:00.000Z,T,4298,4677,,,8975,222
41ST ST,N,42ND AVE,24,2014-03-04T00:00:00.000Z,T,,,,,1271,223
HAZEL AVE,N,GREENBACK LN,24,2014-05-20T00:00:00.000Z,T,17396,17568,,,34964,224
EDISON AVE,W,WATT AVE,24,2014-04-29T00:00:00.000Z,T,,,1894,1613,3507,225
FLORIN PERKINS RD,S,JACKSON RD/SR 16,24,2014-04-07T00:00:00.000Z,M,12047,9734,,,21781,226
TAVERNOR RD,N,BLAKE RD,24,2014-07-23T00:00:00.000Z,W,195,219,,,414,227
AMERICAN RIVER DR,E,MUNROE ST/UNIVERSITY AV,24,2014-04-09T00:00:00.000Z,W,,,4610,4139,8749,228
LANDIS AVE,E,PARK LN (W/EXT),24,2014-03-04T00:00:00.000Z,T,,,1475,1187,2662,229
GREENBACK LN,E,HAZEL AVE,24,2014-05-20T00:00:00.000Z,T,,,15065,15293,30358,230
PALOMINO LN,N,MARGARET WAY,24,2014-04-29T00:00:00.000Z,T,,,,,987,231
BLAKE RD,W,ALTA MESA RD,24,2014-07-23T00:00:00.000Z,W,,,354,365,719,232
ARNO RD,W,ALTA MESA RD,24,2014-07-23T00:00:00.000Z,W,,,134,107,241,233
WATT AVE,N,AMERICAN RIVER BRIDGE,24,2014-04-29T00:00:00.000Z,T,44658,47823,,,92481,234
LINCOLN AVE,E,MANZANITA AVE,24,2014-03-04T00:00:00.000Z,T,,,2382,2363,4745,235
HAZEL AVE,N,MADISON AVE,24,2014-05-20T00:00:00.000Z,T,18812,18057,,,36869,236
AUBURN BLVD,N,STATE ROUTE 244,24,2014-04-30T00:00:00.000Z,W,13072,14755,,,27827,237
VALENSIN RD,E,ARNO RD,24,2014-07-23T00:00:00.000Z,W,,,779,719,1498,238
FAIR OAKS BLVD,E,FULTON AVE,24,2014-04-09T00:00:00.000Z,W,,,18396,14133,32529,239
FRANKLIN BLVD,N,FLORIN RD,24,2014-03-04T00:00:00.000Z,T,13084,10497,,,23581,240
ARDEN WAY,E,FAIR OAKS BLVD,24,2014-04-09T00:00:00.000Z,W,,,4185,3718,7903,241
BELLINGRATH DR,S,ELVERTA RAIL WAY,24,2014-07-29T00:00:00.000Z,T,,,,,961,242
STANLEY AVE,E,CALIFORNIA AVE,24,2014-03-04T00:00:00.000Z,T,,,711,857,1568,243
ELKHORN BLVD,E,16TH ST,24,2014-05-21T00:00:00.000Z,W,,,11530,10941,22471,244
AMERICAN RIVER DR,W,WATT AVE,24,2014-04-09T00:00:00.000Z,W,,,5813,4949,10762,245
COLOMA RD,E,SUNRISE BLVD,24,2014-07-29T00:00:00.000Z,T,,,7656,8263,15919,246
EASTERN AVE,N,MARCONI AVE,24,2014-04-30T00:00:00.000Z,W,8005,7602,,,15607,247
SUTTER AVE,W,CALIFORNIA AVE,24,2014-03-04T00:00:00.000Z,T,,,1229,1355,2584,248
ARDEN WAY,E,MORSE AVE,24,2014-05-21T00:00:00.000Z,W,,,13545,13662,27207,249
FAIR OAKS BLVD,W,EASTERN AVE,24,2014-04-10T00:00:00.000Z,TH,,,20406,21028,41434,250
TIOGA WAY,E,FULTON AVE,24,2014-07-29T00:00:00.000Z,T,,,285,230,515,251
WATT AVE,N,AMERICAN RIVER BRIDGE,24,2014-04-30T00:00:00.000Z,W,45818,49577,,,95395,252
